,AT0000A18XM4 SW,BE0974268972 BB,US0527691069 US,DE0007164600 GR,US6092071058 US
2014-01-14,0.184659655598,0.275706352908,0.303424689127,0.0428412771861,0.193368025181
2014-01-15,0.225875371745,0.147861468074,0.151211449277,0.224074184008,0.250977526896
2014-01-16,0.261016798775,0.334212680394,0.293336067157,0.0157443423873,0.0956901112865
2014-01-17,0.160168059984,0.231034451399,0.0926736430269,0.26905027667,0.24707356892
2014-01-18,0.0571617705864,0.254146041819,0.0272860255905,0.480659941728,0.180746220276
2014-01-21,0.329394061114,0.304919516057,0.144074029881,0.0929005092043,0.128711883744
2014-01-22,0.192418522585,0.158637542186,0.289508727821,0.0899892156547,0.269445991754
2014-01-23,0.206539427391,0.0658895438469,0.24973510307,0.183086400746,0.294749524947
2014-01-24,0.339161585538,0.00850924786773,0.254359106705,0.277157084306,0.120812975584
2014-01-25,0.323027655476,0.333669950356,0.223152154096,0.0211235241671,0.0990267159046
2014-01-28,0.265448731994,0.14645190497,0.116817613065,0.322198896325,0.149082853646
2014-01-29,0.257407883922,0.123905593806,0.167109360829,0.0155279383609,0.436049223081
2014-01-30,0.301296115375,0.22843863138,0.153113232871,0.13217497738,0.184977042994
2014-01-31,0.200400780626,0.132066991348,0.313588962987,0.0395074709524,0.314435794087
2014-02-01,0.240123550571,0.283794262881,0.104456441144,0.211652579094,0.159973166311
2014-02-04,0.188509026759,0.0112193647415,0.280615267224,0.11758100425,0.402075337025
2014-02-05,0.208653950782,0.227625836194,0.192784847881,0.158525344141,0.212410021002
2014-02-06,0.205720768852,0.0527355892245,0.137994058091,0.343435449772,0.26011413406
2014-02-07,0.0650861925576,0.301827618988,0.310149256363,0.240457530886,0.0824794012054
2014-02-08,0.02911261458,0.340262201376,0.204827057193,0.00399176836912,0.421806358482
2014-02-11,0.247982546955,0.444203624768,0.243792408542,0.0486520159307,0.015369403805
2014-02-12,0.0158506775596,0.309983159766,0.135620956391,0.327432553038,0.211112653246
2014-02-13,0.448069812302,0.241961246235,0.00399203748699,0.0349373585213,0.271039545455
2014-02-14,0.231039835346,0.133392587418,0.20913033783,0.396448904246,0.0299883351596
2014-02-15,0.235028535695,0.20711495485,0.135333336154,0.243445233279,0.179077940022
2014-02-18,0.189802521469,0.243553170144,0.243475295155,0.0452144113727,0.27795460186
2014-02-19,0.0944926464144,0.358314747345,0.359783677894,0.0696869567958,0.117721971551
2014-02-20,0.14119199043,0.197458878338,0.171255832409,0.18417998724,0.305913311584
2014-02-21,0.190618830665,0.0286339030463,0.331367033969,0.220731806814,0.228648425505
2014-02-22,0.248211171189,0.221555799956,0.140843923767,0.30565858147,0.0837305236171
2014-02-25,0.117817941134,0.252250198293,0.00298717700358,0.313676652073,0.313268031497
2014-02-26,0.224622801632,0.266772365558,0.0736413498857,0.18242208191,0.252541401015
